State/Province ,City ,Zip Code,Climate Zone ,Project Name,Type of Geothermal System ,Site Type ,Size/Capacity,Project Status ,Users ,# of Households Served,# of Population Served,Buildings Connected ,Design Heating Load ,Design Cooling Load ,"Building Details (For each type of building): Renovated building? If yes, previous heating/cooling system used. ",Heat Pump/Heat Exchanger Unit ,Thermal Resources Details: ,Distribution System Details: ,Backup Generation,Ownership Model,$ Cost ,Funding Sources,"Subscription Information (Hookups, fees, rates) ",Emissions Savings (GHG) ,Operational Successes ,Additional Information,Site Contact,Referenced Sources,Other Notes (Not for publishing)
Minnesota,St. Louis Park,,,Westwood Hills Nature Center,GSHP system for individual building. ,Government/municipal building ,"1 building, 13,500 square feet. ",Operating. Design began 2016. Construction completed 2020. ,N/A ,N/A ,Unknown ,1,Unknown,Unknown,No. ,GSHPs. ,"1 borehole field, 32 boreholes, 250 feet depth. ","3.5 miles of underground piping circulating 2,500 gallons of 30% propylene glycol water through the geothermal heat pump systems. ",Unknown. ,Private. ,Unknown. ,Unknown. ,N/A ,"Estimates suggest that a similarly sized building built to code and heated with an electric boiler would generate more than 130 tons of carbon emissions annually. With this design, the estimated emissions are zero, is managed correctly. ","Reduces annual energy costs by $6,750—a 35% savings. Building envelope provides a 20% energy savings and improves user comfort. ","The borefield is located under the parking lot and sidewalk. This building was a part of the City of St. Louis Park's Climate Action Plan to reduce GHG emissions to net zero by 2040, which included replacing gas-powered vehicles and tools with electronics ones, installing public charging stations at the city hall and recreation center. The plan also mandated that all new construction projects funded by the city would be zero-energy buildings. This building is the first commercial ZEB in Minnesota. ","Emily Ziring, EZiring@stlouisparkmn.gov ",1. US DOE Geothermal Heat Pump Case Study 2.  St. Louis Park's Next-Generation Nature Center ,
New York,Schenectady ,,,Union College,GSHP system for individual building. ,Community ,TBD. ,Operating. Design began 2012.,Commercial,N/A ,N/A ,1,Unknown.,Unknown.,Yes. Pre-existing heating and cooling system unknown. ,GSHP,"Heat-recovery chiller and geothermal chiller, heat sourced from geothermal wells from the World Science Center.",Unknown,Unknown,Private ,Unknown ,Unknown,N/A ,Unknown,"Annual energy
savings from this project: 732,158 kWh",The geothermal system is for the College's Schaffer Library. This system was pursued in part of the College's effort to upgrade campus energy efficiency. ,National Grid: efficiency@nationalgrid.com,1. National Grid: Union College ,
New York,Lockport,,,Autumn Gardens Apartments ,GSHP system for individual building. ,Apartment ,"1 building, 2,000 square feet.",Operating. Construction began 2014. System began operating in 2016. ,Residential,72,Unknown,1,"116,000 Btu/hr system capacity ",Unknown.,"Yes. Originally has an electric resistance baseboard heat, electric hot water, and a self-supplied window air-conditioning unit if they desired summer cooling. ","GSHP system. Nine GSHPs, nine 100-gallon hot potable water storage units for domestic hot water. ",39 boreholes. 225–250 feet depth. Addiitonal 3 wells under recreation center to heat/cool that facility. ,N/A ,Unknown,Private ,Total cost: $1.7M ,"Savings from accumulated U.S. Housing and Urban Development capital fund grants. New York State Energy Research and Development Authority Rebate for Geothermal Heat Pump System: $93,600. ",N/A ,Unknown,"In the first year of operation, had 40.7% in total site annual energy savings. Annual cost savings of approximately $24,000 per year. Installation was 30% less expensive due to a decentralized loop field for each heat pump than a centralized approach, the design had a smaller footprint and lower piping costs. Avoiding the use of redundant, individually controlled consoles and less ductwork and piping makes it 12% cheaper to operate than a centralized system. ","The apartment complex saw high utility bills. The City of Lockport Housing Authority (CLHA) owners looked into lower-cost energy solutions. After exploring solar, wind, and natural gas, CLHA concluded that a geothermal heat pump system would be the most cost-effective and meet conditions for tenant comfort. ","Jeff Haag, JHaag@LockportHousingAuthority.com",1. US DOE Geothermal Heat Pump Case Study: Autumn Gardens Apartment Complex ,
New York,Medford ,,,Medford Site Veterans Home,GSHP system for individual building. ,Community Center,"1 building, 1,936 square feet.",Operating. Operation started 2021. ,Residential,1,N/A ,N/A ,"36,000 Btu/hr system capacity. ",Unknown.,No.,GSHP system. ,"Two boreholes, 500 feet deep. ",N/A ,Unknown,Unknown,"Annual energy cost of $1,800","National Grid, via New York State Public Service Commission, New York State Energy Research and Development Authority, New York State Office of Temporary Disabilities Homeless Housing Assistance Program, and Public Service Enterprise Group Long Island",N/A ,Unknown,"Estimated cost savings, in comparison to typical new homes, is $2,900 annually. The Medford Site Veterans Housing project also supported public good, providing housing to a formerly homeless veteran and their family and involving VetsBuild and YouthBuild programs. ","The GSHP system was installed to improve the energy efficiency of the building, including triple-pane windows, a gable roof and vented attic, an insulated basement, and a smart thermostat. The home was a part of the United Way's portfolio of homes to provide greater energy efficiency and significantly reduce or eliminate residents' utility costs. ","Rick Wertheim, rwertheim@unitedwayli.org Robert Allgor, robert.allgor@nationalgrid.com.",1. US DOE Geothermal Heat Pump Cases Studies: Medford Site Veterans Home ,
New York,New Paltz ,,,Zero Place ,GSHP system for individual building. ,Mixed-use Building ,"1 building, 63,320 square feet, 4s=-story. ",Operating. Operation began 2022. ,Mixed: residential and commercial spaces available. ,46,Unknown,1,7.5 kBtu/square foot per year ,8.0 kBtu/square foot per year ,No.,GSHP system with a total of WSHP units. Apartment units had 3/4-1-ton WSHP units on bedroom corners and top floor apartments. Common areas and retail spaces had 5-ton WWHP units. ,15 boreholes. ,"Distribution loop fluid is methanol: no additional valves, circuit settlers, etc. were installed to unnessarily increase pressure requirements. ",Unknown,Private ,Total cost: $10M,Unknown. ,N/A ,Produces zero emissions. ,"The overall system heating COP for space and water heating combined exceeded 3.6, even on the coldest day of the year where temperatures dropped below zero. In comparison, an ASHP would have operated at a COP of 1-1.5. ","During a complete grid outage, the building is able to maintain a comfortable temperature of 50F. Residents pay $0 in energy bills unless their energy consumption exceeds 125% of expected need. ",ZeroPlace main email: onyxpm@ahclic.net,"1. NYSERDA Final Report: Monitoring the Ground Source Heat Pump System at Zero Place - A Multifamily, Mixed-Use Building in New Paltz, New York (2024) 2. Vermont Community Thermal Networks, Zero Place 3.   NYSERDA Buildings of Excellence Competition Review: Zero Place ",
New York,New York ,,,"The Bloomberg Center, Cornell University ",GSHP system for individual building. ,College campus ,"1 building, 160,000 square feet. ",Operating. ,Commercial ,N/A ,N/A ,1,Unknown,Unknown,No. ,GSHP. ,"1 borefield, 80 boreholes, 400 feet deep. ",N/A ,Unknown,Private ,Unknown. ,Unknown. ,N/A ,No fossil fuels are used for the building's HVAC system. ,Unknown,"The Bloomberg Center was designed with sustainability and energy efficiency as its primary goal. The geothermal system was combined with solar power, green roof, smart building technology, highly insulated facades, rainwater collection systems, and resiliency components. ","Geothermal developer, Endurant: info@endurant.com","1. Endurant, Cornell Tech Campus 2.  Bloomberg Center at Cornell Tech",
New York,New York ,,,St. Patrick's Cathedral ,GSHP system for individual building. ,Church ,"1 building, 76,000 square feet. ",Operating. Construction began 2015. Operation began 2017. ,Public institution ,N/A ,N/A ,1,3.2 MMBtu/hr ,2.9MMBtu/hr ,"Yes. Building was originally constructed in 1858. HVAC system was from the 1980s. Oil-powered steam radiators provided heating, unknown for cooling. ",GSHP. ,"10 wells, 2,200 feet deep. ",N/A ,Unknown,Private ,$35M. ,Unknown ,N/A ,"Eliminated the cost of burning 218 barrels of oil per year, reducing carbon dioxide emissions by 94,000 kilograms of carbon annually. ",Estimated to reduce Cathedral's energy consumption by over 30%. ,"The geothermal plant was a part of an effort to restore Saint Patrick's Cathedral. One of the most emphasized benefits was that the system had virtually no visible impact on the architecture of the Cathedral while taking up 40% of the space of a conventional HVAC system. Larget city-based geothermal installation as of 2017. The church also took inspiration from the Trinity Church in Boston, and the General Theological Seminary and Union Theological Seminary in New York, all religious institutions that installed geothermal plants. ",,1. Geothermal System for St. Patrick's Cathedral Restoration (2017) 2.  St. Patrick's Cathedral Goes Green with Geothermal (2020) 3. New York: the new Geothermal Plant for Saint Patrick's Cathedral (2017)  ,"Geothermal plant, would be interested in seeing the cost/benefit for the borehole depth vs potentially establishing a borefield? Given the narrow space constraints, the settled design does make the most sense. "
New York,Corinth ,,,"Aztech Geothermal, LLC, Saratoga National Bank",GSHP system for individual building. ,Manufacturing and office space.,"1 building, 24,000 square feet. ",Operating. ,Commercial,N/A ,N/A ,1,Unknown,Unknown,No. ,"6 water-to-air electric heat pumps, 2 water-to-water electric heat pumps. ","7 geothermal standing column wells, 500 foot depth. ",N/A ,10 ton natural-gas-fired absorption heat pump. ,Private ,Unknown. ,"Incentive programs from NYSERDA, Saratoga Industrial Development Agency, and NYS Business Development Corporation",N/A ,Unknown,Unknown,"The geothermal system is a part of the effort to improve the energy efficiency of the building. Other projects include lighting enhancements, a highly insulated building envelope, and radiant floor heating. ","Aztech Geothermal, LLC: 518-309-2000",1. Aztech Geothermal ,
North Dakota,Bismarck ,,,Century Center,GSHP system for individual building. ,Government building,"1 building, 112,617 square feet",Operating. Operation began 2003. ,Public institution ,N/A ,400,1,Unknown,Unknown,No. Constructed with building in 2003. ,GSHP. 224 HPs. ,286 wells. ,N/A ,N/A ,Public institution. ,Unknown. ,State of North Dakota ,N/A ,Unknown,"Energy use of 781,000 kWh per year. Capital cost of geothermal installation was paid off in 2.5 years, with savings continuing after 20 years of operation. Maintenance and operation of the system has also been simple: even though the building's heat pumps have a nominal lifetime of 20 years, the center has only needed to replace a couple dozen. ","The building is fully windowed and takes in southern light year round. This results mixed heating demand through the building, with the front often requiring cool air in the winter and the back heating. During the winter, the building and surround sidewalks require heating, which is supplied by a heat pump system that deices. ","Michael Schumacher, mschumacher@nd.gov",1. US DOE Geothermal Heat Pump Case Study: Century Center ,
Oklahoma,Oklahoma City ,,,Casady School: Math Buildings ,GSHP system for individual building. ,School facility,"1 building, 17,000 square feet ",Operating. Operation began 2010. ,Commerical,N/A ,Unknown,1,Total 32 ton system capacity ,Unknown,No. Constructed with building in 2010. ,GSHP. 9 units. ,Flat-panel lake heat exchangers.,N/A ,Unknown,Private,Unknown,Private investment ,N/A ,Unknown,Unknown,Geothermal system also includes energy recovery ventilator and internet-based energy management system.,"Developer, Comfortworks: (405) 455-8281",1. Comfortworks: Casady School Math Buildings ,
Oklahoma,Oklahoma City ,,,Casady School: Theatre Building,GSHP system for individual building. ,School facility,"1 building, 10,000 square feet ",Operating. Operation began 2013. ,Commercial,N/A ,Unknown,1,Total 78 ton system capacity ,Unknown,No. Constructed with building in 2013. ,GSHP. 14 units. ,Flat-panel lake heat exchangers.,N/A ,Unknown,Private,Unknown,Private investment ,N/A ,Unknown,Unknown,Geothermal system also includes energy recovery ventilator and internet-based energy management system.,"Developer, Comfortworks: (405) 455-8281",1. Comfortworks: Casady School Theatre Building,
Oklahoma,Oklahoma City ,,,Casady School: School Art and Science Buildings ,GSHP system for individual building. ,School facility,"1 building, 22,000 square feet ",Operating. Operation began 2014. ,Commerical,N/A ,Unknown,1,Total 60 ton system capacity ,Unknown,No. Constructed with building in 2014. ,GSHP. 15 units. ,Flat-panel lake heat exchangers.,N/A ,Unknown,Private,Unknown,Private investment ,N/A ,Unknown,Unknown,Geothermal system also includes energy recovery ventilator and internet-based energy management system.,"Developer, Comfortworks: (405) 455-8281",1. Comfortworks: Casady School Art and Science Building,
Oklahoma,Oklahoma City ,,,Wilspec Technologies ,GSHP system for individual building. ,Office and shop building. ,"1 building, 23,000 square feet ",Operating. Operation began 2013.,Commercial,N/A ,Unknown,1,Total 43 ton system capacity ,Unknown,No. Constructed with building in 2013. ,,"1 borefield, 12 boreholes, 425 foot depth. ",N/A ,Unknown,Private,Unknown,Private investment ,N/A ,Unknown,Unknown,Geothermal system also includes energy recovery ventilator and internet-based energy management system.,"Developer, Comfortworks: (405) 455-8281",1. Comfortworks: Wilspec Technologies ,
Oklahoma,Oklahoma City ,,,"Comfortworks, Inc., Catholic Charities Building",GSHP system for individual building. ,Office building ,"1 building, 34,000 square feet. ",Operating. Operation began 2016.,Commerical,N/A ,Unknown,1,113 ton system capacity,Unknown,No. Constructed with building in 2016. ,GSHP. 32 units. ,"1 borefield, 48 boreholes, 500 foot depth. ",N/A ,Unknown,Private,Unknown,Private investment ,N/A ,Unknown,Unknown,Geothermal system also includes energy recovery ventilator and internet-based energy management system.,"Developer, Comfortworks: (405) 455-8281",1. Comfortworks: Catholic Charities,
Oklahoma,Edmond ,,,"Comfortworks, Inc., Bancfirst",GSHP system for individual building. ,Bank ,"1 building, 11,000 square feet. ",Operating. Operation began 2013.,Commercial,N/A ,Unknown,1,45 ton system capacity ,Unknown,No. Constructed with building in 2013. ,GSHP. 12 units. ,"1 borefield, 40 boreholes, 300 foot depth. ",N/A ,Unknown,Private,Unknown,Private investment ,N/A ,Unknown,Unknown,Geothermal system also includes energy recovery ventilator and internet-based energy management system.,"Developer, Comfortworks: (405) 455-8281",1. Comfortworks: Bancfirst II,
Oklahoma,Norman,,,"Comfortworks, Inc., Norman Fire Station No. 9",GSHP system for individual building. ,Fire Statoin,"1 building, 9,000 square feet. ",Operating. Operation began 2013.,Commerical,N/A ,Unknown,1,27 ton system capacity ,Unknown,No. Constructed with building in 2013. ,GSHP. 7 units. ,"1 borefield, 15 boreholes, 400 foot depth. ",N/A ,Unknown,Private,Unknown,Private investment ,N/A ,Unknown,Unknown,Geothermal system also includes energy recovery ventilator and internet-based energy management system.,"Developer, Comfortworks: (405) 455-8281","1. Comfortworks: Norman Fire No. 9 (Norman OK, LEED Silver) ",
Oklahoma,Oklahoma City ,,,"Comfortworks, Inc., Salvation Army Center",GSHP system for individual building. ,Mixed: Office/Assembly/Dining/Shelter,"1 building, 6,000 square feet. ",Operating. Operation began 2014. ,Commercial,N/A ,Unknown,1,10 tons warehouse heat ,123 tons AC,No. Constructed with building in 2014. ,GSHP. 34 units. ,"1 borefield, 84 boreholes, 400 foot depth. ",N/A ,Unknown,Private,Unknown,Private investment ,N/A ,Unknown,Unknown,Geothermal system also includes energy recovery ventilator and internet-based energy management system.,"Developer, Comfortworks: (405) 455-8281",1. Comfortworks: Chesapeake Center of Hole (Oklahoma City) ,
Oklahoma,Oklahoma City ,,,"Comfortworks, Inc., Sunbeam Family Services",GSHP system for individual building. ,Mixed: Office and Shelter Building ,"1 building, 32,000 square feet. ",Operating. Operation began 2015. ,Commerical,N/A ,Unknown,1,124 ton system capacity ,Unknown,No. Constructed with building in 2015. ,GSHP. 30 units. ,"1 borefield, 70 boreholes, 500 foot depth. ",N/A ,Unknown,Private,Unknown,Private investment ,N/A ,Unknown,Unknown,Geothermal system also includes energy recovery ventilator and internet-based energy management system.,"Developer, Comfortworks: (405) 455-8281",1. Comfortworks: Sunbeam Family Services (Oklahoma City) ,
Oklahoma,Oklahoma City ,,,"Comfortworks, Inc., Homeless Alliance Building",GSHP system for individual building. ,Residential building ,"1 building, 7,800 square feet.",Operating. Operation began 2015. ,Commercial,N/A ,Unknown,1,18 ton system capacity ,Unknown,No. Constructed with building in 2015. ,GSHP. 4 units. 8 tons geothermal water heating.,"1 borefield, 10 boreholes, 500 foot depth. ",N/A ,Unknown,Private,Unknown,Private investment ,N/A ,Unknown,Unknown,Geothermal system also includes energy recovery ventilator and internet-based energy management system.,"Developer, Comfortworks: (405) 455-8281",1. Comfortworks: Homeless Alliance (Oklahoma City) ,
Oklahoma,Edmond ,,,Hargrove Medical Building ,GSHP system for individual building. ,Office building ,"1 building, 20,000 square feet. ",Operating. Operation began 2014. ,Commerical,N/A ,Unknown,1,54 ton system capacity,Unknown,No. Constructed with building in 2014. ,GSHP. 17 units. ,"1 borefield, 27 boreholes, 500 ft. vertical bores. ",N/A ,Unknown,Private,Unknown,Private investment ,N/A ,Unknown,Unknown,Geothermal system also includes energy recovery ventilator and internet-based energy management system.,"Developer, Comfortworks: (405) 455-8281","1. Comfortworks: Hargrove Medical Building (Edmond, OK) ",
Pennsylvania,Wayne ,,,Concord Engineering Group: Radnor Middle School ,GSHP system for individual building. ,School,"1 building, 195,000 square feet ",Operating. Development began 2004. Construction began 2005. Operation began 2007. ,Commercial,N/A ,N/A ,1,"3,000 MBH",400 tons of cooling ,"No, new development",GSHPs ,"1 borefield, 144 boreholes, 500 foot depth. ",N/A ,Unknown,Private ,Unknown ,Private investment ,N/A ,Unknown. ,Estimated energy savings of 30 percent. ,"The middle school was developed with a geothermal system after seeing the success of the Radnor Elementary School, built in 2001 with a GSHP system. ",,1. Concord Engineering: Middle School Goes Green with ClimateMaster Geothermal System ,
Pennsylvania,Jamison ,,,Bridges of Warwick,GSHP system for individual building. ,Senior Living Community Center. ,"1 building, 91,100 sqaure feet ",Operating.,Residential ,Unknown,Unknown,1,Unknown,Unknown,"No, new development",GSHPs. ,Unknown,Unknown,Unknown,Private,Unknown,"Private investment, potentially tax rebates.",N/A ,Unknown.,Unknown. ,"The geothermal system is a component of improving the energy efficiency of the building. Other systems included in the project are LED lighting, low voltage systems, and energy recovery ventilation units. ","Developer, Alderson Engineering, LLC: info@aldersonengineering.com",1. Alderson Engineering Bridge of Warwick 2. Burkey Construction The Bridges at Warwick ,
Tennessee,Tellico Village ,,,Tellico Village Community Church ,GSHP system for individual building. ,Church,"1 building, 50,670 square feet.",Operating.,Commercial ,N/A ,Unknown,1,1.68 MMBtu/hr system capacity. Provides all of cooling load and 1/3 of heating.,,Yes. ,WSHP.,Pond heat exchanger. ,N/A ,"Gas-fired boiler, provides 1/3 of heating required for the facility. ",,Unknown. ,Private investment.  ,N/A ,Unknown,Unknown,N/A ,"Developer, Slim Jim Geo Lake Plate: (225) 928-2630","1. Tellico Village Community Church, Tennessee",
Vermont,Burlington ,,,Hula ,GSHP system for individual building. ,Office building ,"2 buildings, with capacity to expand. 150,000 total square feet. ",Operating. System began operating in 2021.  ,Unknown,Unknown,Unknown,N/A ,Unknown,Unknown,Yes. The office space used to be an oven factory. The building envelope was improved to increase energy efficiency. ,GSHP. Pumps are placed through the building to distribute heating and cooling efficiently. ,Open loop. ,N/A ,Unknown,Private ,Unknown,Unknown.,N/A ,Unknown,"Building energy use intensity (EUI) was about 65 percent less than what Vermont's energy efficiency code required. Awarded the ""Best of the Best"" in Commercial Building Design and Construction in 2022. ","The GSHP system was installed as a part of a net zero emissions system, including solar panels for generating electricity and a heat capture system for kitchen exhaust. ","Russ Scully, russ@scullyinteractive.com","1. Vermont Community Thermal Networks, Hula Case Study 2. Mayor Micro Weinberger, City Departments, Hula, BHS Students, and Environmental Partners Promote New Cliamte Policies to Help City Pursue Net Zero Energy Goal",
Washington,Seattle ,,,Seattle Public Schools ,GSHP system for individual building. ,School,"15 existing schools, 4 being built. 1,131,770 square feet, expanding to include another 650,000 once construction is complete. ",Operating. First school switch to GSHP began in 2004. Construction for new schools is in progress. ,N/A ,N/A ,N/A ,N/A ,Unknown,Unknown ,"Mixed. Some schools are newly constructed, others shifted from natural gas-fired boiler systems to GSHP. ",GSHP,"For each school, average 90-100 boreholes, each 150-350 foot depth. ",N/A ,Electric boiler. ,Public institution. ,$23M ,IRS tax credits: $7.5M ,N/A ,Unknown,"Each of the connected schools have 100% geothermal heat pump heating, ventilation, and air conditioning systems. GSHPs rreduced weather-normalized energy use indexes 30%–77%, including during the coronavirus pandemic when increased ventilation was required.
","The schools have a combination of districted GSHP systems and centralized systems. The success of the first school also spread to other schools, leading to wide adoption and expansions of GSHP use throughout the district. ","Ian A. Brown, IABrown@SeattleSchools.org ",1. US DOE Geothermal Heat Pump Case Study: Seattle Public Schools 2. Seattle Public Schools uses this climate-friendly HVAC system (2024) ,Look further into district energy for public schools in seattle? 
Wisconsin,Verona ,,,Epic Healthcare Corporate Campus ,GSHP system for individual building. ,Corporate Campus ,"40 buildings, 9 million square feet ",Operating. Construction began 2006. System began operating 2012. ,Commercial,N/A ,N/A ,40,Unknown,Unknown,No. ,GSHP,"4 borefields. Total 6,100 boreholes. 300 to 800 foot depth. 2 lake exchange systems, closed loop design. ",Water as the heat exchanger fluid. ,Unknown.,Private. ,Unknown.,Supported through various federal tax programs over the years. ,N/A ,Unknown,"Provides cooling support for 3.5MW data center, with spare capacity to accommodate growth. ","The project involves collaboration with the Univeristy of Wisconsin-Madison, who monitors Epic's geothermal system since its installation to understand system performance. ",info@epic.com,1. US DOE Geothermal Heat Pump Case Studies: Epic Healthcare Corporation (2025) 2. One of the World's Largest Geothermal Networks is Buried Beneath a Corporate Campus in Rural WIsconsin (2025)  ,
Wisconsin,Dousman ,,,Three Pillars Senior Living Communities,GSHP system for individual building. ,Senior Living Facility ,1 building.,Operating. ,"Mixed, residential and commerical. ",Unknown,Unknown,1,Unknown,Unknown,Unknown,GSHP,"Open loop, connected to system operating in nearby lake. ",Unknown,Unknown,Private ,Unknown,Unknown,N/A ,Unknown,Unknown,Unknown,Unknown,1. Three Pillars Assisted Living Project ,
Wisconsin,Appleton ,,,RiverHealth Project,GSHP system for individual building. Closed loop.,Mixed Use ,2 buildings,"Operating. Permit issued 2008, approved 2009. Phase one construction began summer 2013, completed June 2014. Phase Two Construction began summer 2015, completed September 2016. ","Mixed, residential and commerical. ",Unknown,Unknown ,2,"Heating/cooling system capacity: 600 tons, 7.2 MMBtu/hr",N/A ,No. ,"GSHP, one per condo. ","River embedded heat exchanger, no boreholes",Closed loop piping.,Natural-gas fired boiler. ,Private,Total first phase budget: $20M ,US DOE Grant: $1M ,Unknown,Unknown,"The system has an estimated payback period of 7 years compared to a period of 11-14 years, which would be for a system with boreholes as primary thermal resource. Estimated cost savings of over $1M after 25 years of use. ",Using a heat exchanger in water requires less capital infrastructure than boreholes. This project served as a demonstration project to show that the system would not impact the river. ,Unknown,1. US DOE Geothermal Technologies Program 2010 Peer Review 2.  Final Technical Report for DOE 2016 ,
Massachusetts,Amherest ,,,The Inn on Boltwood ,GSHP system for individual building. Closed loop. ,Historic Inn ,"1 building. 46,000 square feet.",Operating: Original building built 1926. Construction began 2009. Operation began 2011. ,Commercial ,N/A ,N/A ,1,Unknown,Unknown ,"Yes. Gas boiler heating system, unknown for cooling. ",5 GSHPs. ,"47 boreholes distributed throughout property, 500 feet deep. ",N/A ,,Private ,Unknown,Unknown ,N/A ,N/A ,Energy Use: 132 BTU per square foot in 2023,"Heat pumps are used to heat and cool large areas, individual guest rooms, and water for bathing and cleaning. The Inn's success inspired Amherst College to retrofit its campus's heating and cooling system in 2023. ","Aaron Hayden, AaHayden@amherst.edu",1. US DOE Geothermal Heat Pump Case Studies,amherst has a heat pump incentive program!
Massachusetts,Andover ,,,IRS Service Center,GSHP system for individual building. Closed loop. ,Commercial building,"1 building, 400,000 square feet ",Operating: Original facility built 1967. Construction of the new building and energy infrastructure began 2009. Operating 2012. ,Commercial ,N/A ,N/A ,1,Unknown,Unknown ,Yes. Heating and cooling equipment unknown. ,GSHPs. ,Unknown. ,N/A ,,Private ,Entire project cost $60M ,"$807,000 ARRA funded supplemental design contract for geothermal heating and cooling. $13.8 million geothermal contract to Columbia Construction of North Reading.  ",N/A ,Unknown,Unknown ,"The geothermal system was one aspect of the project. The building was completely redesigned, reconstructed, courtyards were added, and additional buildings and infrastructure like an assembly room, training complex, conference rooms, and data center was added. The costs account for all of these changes. ",N/A ,"1. Alderson Engineering, IRS Service Center 2. Columbia Construction breaks ground on $60 million IRS modernization project (2009) 3.  GSA and Columbia Construction progressing with IRS' Andover Campus modernization (2010) ",
Kansas,Greensburg,,,Greensburg City Hall,"GSHP system, open loop",Government/municipal building ,"1 building, 4,700 sq ft","Operating: Construction 2008, Operation 2009",Commercial,N/A,N/A,1,N/A,N/A,"No, greenfield project",6 GSHPs,"1 borehole, 123 ft deep, open loop. N/A waste heat",N/A,,Private,Unknown,Private,N/A,Unknown,"Energy modeling (2010) compared standard code vs current design: estimated costs $15,800 decreased to $7,100 (44%+ reduction). Mayor: GSHP reliability/efficiency saved tens of thousands in energy costs over 15 years","2007 hurricane destroyed/damaged 95% of city. Rebuilding included sustainable, energy efficient systems/buildings. Other buildings have closed loop geothermal. Solar and wind systems installed for electricity. City Hall GSHP done with solar panels, wind turbines, building envelope renovations",Matt Christenson: mayor@greensburgks.org,,
Kentucky,Louisville,,,Fort Knox Recruiting Command Center,"GSHP system, open-loop",Government/municipal building ,"38 buildings, 6 million sq ft","Operating: Construction 1996, Operation 2005",Mixed,"3,000+","30,000+",38,Unknown,Unknown,"Yes. Centralized high-pressure, high-temperature hot water for heating. Decentralized equipment for cooling","GSHP, combination closed and open loop. Closed loop: 180 boreholes, 500 feet deep",N/A,N/A,,Private,$10.4 million,Unknown,N/A,"10% reduction natural gas consumption, avoided 102,000 Mcf natural gas emissions","Annual energy cost savings: $906,000","GSHPs installed with ventilation controls and dedicated fresh air systems. Led to improvements in indoor air quality of Disney Barracks facilities, benefiting occupant health and working conditions","Director of Public Works Jason Root: 502-624-2151, Public Affairs Ryan Brus: 502-624-4704, Environmental Management Derrick Raney: 502-624-6684",,
Michigan,Petoskey,,,Coveyou Scenic Farm,GSHP system. ,Farm,"5,000 square feet. ",Operating: First GSHP installed 2012. GSHP system expanded in 2015. ,Commercial ,N/A ,N/A ,"N/A: GSHP system is not used for buildings, but directly for walk-in coolers and floor heating zones to support agricultural growth. ",Unknown,Unknown ,Unknown. ,GSHPs. ,N/A ,N/A ,,Private ,Unknown. ,"USDA Conservation Innovation Grant
30% Business Energy Investment Tax Credit",N/A ,Unknown.,"Walk-in coolers: Under $100 per month during summer, vs. $1,000 per month without the geothermal system
Greenhouse floor: About $350 per month during winter, vs. propane, which would be significantly more",The heat exchanger pipes were laid horizontally rather than vertically. This system was likely not too heating/cooling intensive so it did not require boring into the ground vertically. ,"David Coveyou, market@coveyouscenicfarm.com",1. US DOE Geothermal Heat Pump Case Study Coveyou Scenic Farms ,
California,Fremont,,,Delta Electronics,GSHP System. Closed loop.,Manufacturing Facility,"Individual building. 175,000 sq ft",Operating: Construction/Operation 2015,Industrial,Unknown,Not applicable,1,Unknown,6.96 MMBtu/hour,Yes. Electric/gas powered chiller and boiler system,Unknown,No additional thermal resources,"Horizontal heat exchanger. 12,000 gallons water. Avg 22 feet depth. 20 miles underground piping",,Privately owned,Unknown,"Unknown, assumed private investment",Unknown,Specific details not provided,"Provides 80% of heating/cooling. LEED certified. Uses 15,500 Btu/sq ft/year, 70% less than avg LEED building","Integrated with 1.1 MW solar PV, 500-kW dual-side PV carport, 125-kW battery storage",Dave Morse: dave.morse@deltaww.com,,
Alaska,Fairbanks,,,NREL's Alaska Campus,GSHP system. Closed loop. Horizontal ground loop. BTES.,Research facility. Brownfield project.,Individual building. 5000 sq ft of facility,"Operating: Feasibility 2010, Installed 2013",Commercial,N/A,N/A,⅓ of facility,"17.6 kW (60,000 Btu/hr)",Unknown,"Yes. 77,000 Btu/hr oil-fired condensing boiler",In-floor hydronic radiant heating,No borefield,"20% methanol, 80% water solution",,Privately owned. NREL's Alaska Campus,"Operation: $0.24/kWh, Maintenance: $300/year",Emerging Energy Technology Fund Grant from Alaska Energy Authority. Tax credits for GSHP,N/A,"Delivers 20,000-30,000 kWh heat annually, eliminating 700 gallons diesel fuel/year",Moved away from diesel heating fuel. Cost-effective when diesel prices high,"Region has freezing soils and ancient permafrost 30 feet below surface. Avg temp: 0°F winter, regularly -20°F to -40°F",Molly Retig: Molly.Rettig@NREL.gov,,
Colorado,Eagle,,,"Major Geothermal, Eagle County Government Campus",Individual GSHP,Government/municipal building ,One building,Designed 2023-2024. Construction began May 2025 (borehole drilling),Commercial,Not applicable,Not applicable,1,Unknown,Unknown,"Yes. Building ~30 years old, HVAC replacement 2 years overdue",Unknown,Unknown,Unknown,Unknown,Municipality owned,Total project: $14 million,"Support from CO ""Heat Beneath Our Feet"": $3.4M DOLA Energy/Mineral Impact Assistance Fund, $750k CO Energy Office, $3.5M CO Energy Office Geothermal Tax Credit. City and Eagle County taxpayers cover other costs",Unknown,Not operating,Not operating,Not operating,"Kate Kirkman: kate.kirkman@eaglecounty.us, Tori Franks",,
